Unique ID,Sex,Age,Year Banded,2022,2023,Site,Cohort,CH
317,M,SY,2021,1,0,TN,T,10
318,M,ASY,2021,1,0,TN,T,10
319,M,ASY,2021,1,1,TN,T,11
320,M,ASY,2022,1,0,TN,T,10
321,M,ASY,2021,1,0,TN,T,10
322,M,ASY,2021,1,0,TN,T,10
323,M,ASY,2021,1,1,TN,C,11
324,M,ASY,2022,1,0,TN,C,10
325,M,SY,2021,1,0,TN,T,10
326,F,ASY,2021,1,0,TN,T,10
327,F,ASY,2021,1,0,TN,T,10
328,M,ASY,2021,1,0,TN,T,10
329,M,ASY,2021,1,0,TN,T,10
330,F,SY,2021,1,0,TN,T,10
331,M,SY,2021,1,1,TN,T,11
332,M,ASY,2022,1,0,TN,T,10
333,F,SY,2021,1,0,TN,T,10
334,F,SY,2021,1,0,TN,T,10
335,U,HY,2021,1,0,TN,C,10
336,U,HY,2021,1,0,TN,C,10
337,U,HY,2021,1,0,TN,C,10
338,F,HY,2021,1,1,TN,C,11
339,F,HY,2022,1,0,TN,C,10
340,M,ASY,2021,1,1,TN,T,11
341,M,ASY,2022,1,0,TN,T,10
342,M,SY,2021,1,1,TN,T,11
343,M,ASY,2022,1,0,TN,T,10
346,M,SY,2021,1,0,TN,T,10
347,F,SY,2021,1,0,TN,T,10
348,M,ASY,2021,1,1,TN,T,11
349,M,ASY,2022,1,0,TN,T,10
350,M,SY,2021,1,1,TN,T,11
351,M,ASY,2022,1,0,TN,T,10
352,M,SY,2021,1,1,TN,T,11
353,M,ASY,2022,1,1,TN,T,11
354,M,ASY,2021,1,0,TN,T,10
355,M,SY,2021,1,1,TN,C,11
356,M,ASY,2022,1,0,TN,C,10
357,M,ASY,2022,1,0,TN,T,10
358,F,ASY,2022,1,0,TN,T,10
359,M,SY,2022,1,0,TN,T,10
360,F,ASY,2022,1,0,TN,C,10
361,M,ASY,2022,1,0,TN,T,10
362,F,ASY,2022,1,0,TN,C,10
363,M,ASY,2022,1,0,TN,T,10
364,F,ASY,2022,1,0,TN,T,10
365,F,ASY,2022,1,1,TN,T,11
366,F,ASY,2022,1,0,TN,T,10
367,M,SY,2022,1,0,TN,T,10
368,M,ASY,2022,1,1,TN,T,11
369,F,ASY,2022,1,0,TN,T,10
370,M,ASY,2022,1,0,TN,T,10
371,M,ASY,2022,1,1,TN,T,11
372,M,SY,2022,1,0,TN,T,10
373,M,SY,2022,1,0,TN,T,10
374,M,ASY,2022,1,0,TN,T,10
375,F,ASY,2022,1,0,TN,T,10
376,M,ASY,2022,1,1,TN,T,11
377,M,SY,2022,1,1,TN,T,11
378,M,SY,2022,1,0,TN,T,10
379,M,ASY,2022,1,0,TN,T,10
380,M,SY,2022,1,1,TN,T,11
381,F,SY,2022,1,0,TN,C,10
382,M,SY,2022,1,0,MN,C,10
383,M,ASY,2022,1,0,MN,C,10
384,M,ASY,2022,1,0,MN,T,10
385,F,SY,2022,1,0,MN,T,10
386,M,SY,2022,1,0,MN,T,10
387,M,SY,2022,1,0,MN,T,10
388,M,ASY,2022,1,1,MN,T,11
389,M,ASY,2022,1,0,MN,T,10
390,M,SY,2022,1,0,MN,T,10
391,M,SY,2022,1,0,KY,T,10
392,M,SY,2022,1,0,KY,T,10
393,M,SY,2022,1,0,KY,T,10
394,M,SY,2022,1,0,KY,T,10
395,M,ASY,2022,1,0,MNB,C,10
396,M,ASY,2022,1,0,MNB,T,10
397,M,ASY,2022,1,0,MNB,C,10
398,M,ASY,2022,1,0,MNB,T,10
399,M,ASY,2022,1,1,MNB,T,11
400,M,ASY,2022,1,0,MNB,T,10
401,F,SY,2022,1,0,MNB,T,10
402,M,ASY,2022,1,0,MNB,C,10
403,M,ASY,2022,1,0,MNB,T,10
404,M,ASY,2022,1,0,MNB,T,10
405,M,ASY,2022,1,0,MNB,T,10
406,M,ASY,2022,1,1,MNB,T,11
407,M,ASY,2022,1,0,MNB,T,10
408,M,ASY,2022,1,0,MNB,T,10
409,F,ASY,2022,1,0,MNB,T,10
410,M,ASY,2022,1,0,MNB,C,10
411,M,ASY,2022,1,0,MNB,C,10
412,F,ASY,2022,1,1,MNB,T,11
413,M,ASY,2022,1,0,MNB,C,10
414,M,ASY,2022,1,0,MNB,C,10
415,F,ASY,2022,1,1,MNB,T,11
416,M,ASY,2022,1,0,MNB,C,10
417,M,ASY,2022,1,0,MNB,C,10
418,F,SY,2022,1,0,MNB,C,10
419,F,SY,2022,1,0,MNB,T,10
420,M,ASY,2022,1,0,MNB,C,10
421,M,ASY,2022,1,0,MNB,C,10
422,F,ASY,2022,1,0,MNB,T,10
423,M,ASY,2022,1,0,MNB,C,10
424,M,ASY,2022,1,0,MNB,C,10
425,M,ASY,2022,1,0,MNB,C,10
426,F,ASY,2022,1,0,MNB,T,10
427,M,SY,2022,1,0,MNB,C,10
428,F,ASY,2022,1,0,MNB,T,10
429,M,ASY,2022,1,0,MNB,C,10
430,M,ASY,2022,1,0,MNB,C,10
431,F,ASY,2022,1,1,MNB,T,11
432,M,ASY,2022,1,1,MNB,T,11
433,M,ASY,2022,1,0,MNB,T,10
434,F,ASY,2022,1,0,MNB,T,10
435,M,ASY,2022,1,0,MNB,T,10
436,M,ASY,2022,1,0,MNB,T,10
437,F,ASY,2022,1,0,MNB,T,10
441,F,ASY,2022,1,0,NCK,C,10
442,M,ASY,2022,1,0,NCK,C,10
443,M,AHY,2022,1,0,NCK,C,10
444,M,ASY,2022,1,0,NCK,T,10
445,M,SY,2022,1,0,NCK,T,10
446,M,ASY,2022,1,0,NCK,T,10
447,M,ASY,2022,1,0,NCK,C,10
448,M,ASY,2022,1,1,NCK,C,11
449,F,ASY,2022,1,0,NCK,T,10
450,M,ASY,2022,1,0,NCK,T,10
451,F,SY,2022,1,0,NCK,T,10
452,M,ASY,2022,1,0,NCK,C,10
453,F,SY,2022,1,0,NCK,T,10
454,F,ASY,2022,1,0,NCK,C,10
455,F,SY,2022,1,0,NCK,C,10
456,F,SY,2022,1,0,NCK,T,10
457,M,ASY,2022,1,0,NCK,C,10
458,F,ASY,2022,1,1,NCK,T,11
459,M,ASY,2022,1,0,NCK,T,10
460,M,ASY,2022,1,0,NCK,T,10
461,M,SY,2022,1,0,NCK,C,10
462,M,SY,2022,1,0,NCK,T,10
463,M,ASY,2022,1,0,NY,C,10
464,M,AHY,2022,1,1,NY,C,11
465,M,AHY,2022,1,0,NY,C,10
466,M,ASY,2022,1,0,NY,T,10
467,F,ASY,2022,1,0,NY,T,10
468,F,SY,2022,1,0,NY,T,10
469,F,SY,2022,1,0,NY,T,10
470,M,SY,2022,1,0,NY,T,10
471,M,ASY,2022,1,1,NY,T,11
472,F,ASY,2022,1,0,NY,C,10
473,M,SY,2022,1,0,NY,C,10
474,M,ASY,2022,1,1,NY,T,11
475,M,ASY,2022,1,1,NY,C,11
476,M,ASY,2022,1,0,NY,T,10
477,F,SY,2022,1,0,NY,T,10
478,M,ASY,2022,1,1,NY,T,11
479,F,SY,2022,1,0,NY,T,10
480,M,ASY,2022,1,1,NY,C,11
481,M,SY,2022,1,1,NY,C,11
482,M,ASY,2022,1,0,NY,C,10
483,F,SY,2022,1,0,NY,T,10
484,M,ASY,2022,1,0,NY,T,10
485,F,ASY,2022,1,0,NY,T,10
486,M,ASY,2022,1,0,NY,C,10
487,M,ASY,2022,1,1,NY,T,11
488,M,SY,2022,1,0,NY,C,10
489,M,ASY,2022,1,1,NY,C,11
490,M,SY,2022,1,1,NY,C,11
491,M,ASY,2022,1,0,NY,T,10
492,M,ASY,2022,1,1,NY,T,11
493,F,SY,2022,1,0,NY,T,10
494,M,ASY,2022,1,0,NY,T,10
495,M,ASY,2022,1,0,NY,C,10
496,M,SY,2022,1,1,NY,C,11
497,M,ASY,2022,1,1,NY,T,11
498,F,SY,2022,1,0,NY,T,10
499,M,SY,2022,1,0,NY,T,10
500,M,SY,2022,1,0,NY,C,10
501,M,AHY,2022,1,0,NY,T,10
502,M,ASY,2022,1,1,NY,T,11
503,M,SY,2022,1,0,NY,T,10
504,M,SY,2022,1,0,NY,C,10
505,M,ASY,2022,1,0,NY,T,10
506,M,ASY,2022,1,1,NY,T,11
507,M,SY,2022,1,1,NY,T,11
508,M,SY,2022,1,1,NY,T,11
509,M,ASY,2022,1,0,NY,T,10
