Bird ID,2021,2022,2023,Tag Binary,Site,Age
452,NA,1,0,1,NY,ASY
453,NA,1,1,1,NY,SY
454,NA,1,1,1,NY,ASY
455,NA,0,0,0,NY,ASY
456,NA,0,0,0,NY,SY
457,NA,1,0,1,NY,ASY
458,NA,1,1,1,NY,SY
459,NA,1,1,1,NY,SY
460,NA,0,0,0,NY,SY
461,NA,1,1,1,NY,AHY
462,NA,1,0,1,NY,ASY
463,NA,1,1,1,NY,SY
464,NA,0,0,0,NY,SY
465,NA,1,1,1,NY,ASY
466,NA,1,0,1,NY,ASY
467,NA,1,0,1,NY,SY
468,NA,1,0,1,NY,SY
469,NA,1,1,1,NY,ASY
470,NA,1,1,1,NY,SY
